_2011CandidateDonations_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalCandidateExpensesPartsABCD,Part2CandidateExpenses_TotalExpenses,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
345,Evie Mcgruddy,d23,Tony,Corbett,,Clutha-Southland,New Zealand Sovereignty,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,063.29","$1,063.29",Submitted,21/11/2024 7:40 PM,21/11/2024 7:40 PM,21/11/2024 7:40 PM
344,Evie Mcgruddy,d23,Edwin,Perry,,Taupō,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$869.65,$869.65,Submitted,21/11/2024 5:44 AM,21/11/2024 5:44 AM,21/11/2024 5:44 AM
343,Evie Mcgruddy,d23,Pita,Paraone,,Whangārei,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$18,440.26","$18,440.26",Submitted,21/11/2024 5:42 AM,21/11/2024 5:42 AM,21/11/2024 5:42 AM
342,Evie Mcgruddy,d23,Denis,O'Rourke,,Port Hills,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$4,822.00","$4,822.00",Submitted,21/11/2024 5:40 AM,21/11/2024 5:40 AM,21/11/2024 5:40 AM
341,Evie Mcgruddy,d23,Doug,Nabbs,,Hunua,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,351.82","$2,351.82",Submitted,21/11/2024 5:38 AM,21/11/2024 5:38 AM,21/11/2024 5:38 AM
340,Evie Mcgruddy,d23,Helen,Mulford,,Pakuranga,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$937.78,$937.78,Submitted,21/11/2024 5:37 AM,21/11/2024 5:37 AM,21/11/2024 5:37 AM
339,Evie Mcgruddy,d23,Tracey,Martin,,Rodney,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,446.18","$1,446.18",Submitted,21/11/2024 5:36 AM,21/11/2024 5:36 AM,21/11/2024 5:36 AM
338,Evie Mcgruddy,d23,Dion Clifford,Jelley,,Northcote,NZ First,$770.00,$770.00,$770.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$450.00,$450.00,Submitted,21/11/2024 5:34 AM,21/11/2024 5:34 AM,21/11/2024 5:34 AM
337,Evie Mcgruddy,d23,Taliaoa Olivia,Ilalio,,Māngere,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 5:28 AM,21/11/2024 5:28 AM,21/11/2024 5:28 AM
336,Evie Mcgruddy,d23,Brendan,Horan,,Tauranga,NZ First,"$2,000.00","$2,000.00","$2,000.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$7,696.81","$7,696.81",Submitted,21/11/2024 5:26 AM,21/11/2024 5:26 AM,21/11/2024 5:26 AM
335,Evie Mcgruddy,d23,Jerry,Ho,,Maungakiekie,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,302.85","$2,302.85",Submitted,21/11/2024 5:22 AM,21/11/2024 5:22 AM,21/11/2024 5:22 AM
334,Evie Mcgruddy,d23,John,Hall,,Manurewa,NZ First,$810.60,$810.60,$810.60,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,842.05","$2,842.05",Submitted,21/11/2024 5:20 AM,21/11/2024 5:20 AM,21/11/2024 5:20 AM
333,Evie Mcgruddy,d23,Bill,Gudgeon,,Hamilton West,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$565.23,$565.23,Submitted,21/11/2024 5:14 AM,21/11/2024 5:14 AM,21/11/2024 5:14 AM
332,Evie Mcgruddy,d23,Kevin,Gardener,,Nelson,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 5:12 AM,21/11/2024 5:12 AM,21/11/2024 5:12 AM
331,Evie Mcgruddy,d23,Raymond,Dolman,,Bay of Plenty,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$12,841.94","$12,841.94",Submitted,21/11/2024 5:11 AM,21/11/2024 5:11 AM,21/11/2024 5:11 AM
330,Evie Mcgruddy,d23,Allen,Davies,,Auckland Central,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$224.25,$224.25,Submitted,21/11/2024 5:10 AM,21/11/2024 5:10 AM,21/11/2024 5:10 AM
329,Evie Mcgruddy,d23,Ben,Craven,,Wellington Central,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 5:09 AM,21/11/2024 5:09 AM,21/11/2024 5:09 AM
328,Evie Mcgruddy,d23,Brent,Catchpole,,Papakura,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$6,206.46","$6,206.46",Submitted,21/11/2024 5:08 AM,21/11/2024 5:08 AM,21/11/2024 5:08 AM
327,Evie Mcgruddy,d23,Ian,Brougham,,Whanganui,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 5:07 AM,21/11/2024 5:07 AM,21/11/2024 5:07 AM
326,Evie Mcgruddy,d23,Mahesh,Bindra,,Mt Roskill,NZ First,"$5,600.00","$5,600.00","$5,600.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,533.04","$2,533.04",Submitted,21/11/2024 5:05 AM,21/11/2024 5:05 AM,21/11/2024 5:05 AM
325,Evie Mcgruddy,d23,Hugh,Barr,,Ōhāriu,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,027.84","$1,027.84",Submitted,21/11/2024 5:01 AM,21/11/2024 5:01 AM,21/11/2024 5:01 AM
324,Evie Mcgruddy,d23,Bill,Woods,,Selwyn,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$591.85,$591.85,Submitted,21/11/2024 4:58 AM,21/11/2024 4:58 AM,21/11/2024 4:58 AM
323,Evie Mcgruddy,d23,Andrew,Williams,,North Shore,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,138.55","$2,138.55",Submitted,21/11/2024 4:52 AM,21/11/2024 4:52 AM,21/11/2024 4:52 AM
322,Evie Mcgruddy,d23,Asenati,Taylor,,Manukau East,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$9,875.86","$9,875.86",Submitted,21/11/2024 4:50 AM,21/11/2024 4:50 AM,21/11/2024 4:50 AM
321,Evie Mcgruddy,d23,Fletcher H,Tabuteau,,Rotorua,NZ First,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,004.80","$2,004.80",Submitted,21/11/2024 4:49 AM,21/11/2024 4:49 AM,21/11/2024 4:49 AM
