CandidateDonations2023Test_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalExpensesFG,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalPartFCandidateOnlyExpenses,TotalPartGSharedExpenses,TotalPartH,TotalPartHCalculated,PartHTotalsMatch,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
487,Bryce Edwards,d23,Michael,Feyen,,Northland,New Zealand Loyal,"$4,600.00","$3,124.52","$4,600.00","$4,600.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$3,124.52",$0.00,$0.00,No,Submitted,22/05/2024 8:35 AM,22/05/2024 8:35 AM,22/05/2024 8:35 AM
486,Bryce Edwards,d23,Logan,Evans,,Southland,New Zealand Loyal,$0.00,"$8,028.87",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$36.73,"$7,992.14",$0.00,$0.00,No,Submitted,22/05/2024 8:29 AM,22/05/2024 8:29 AM,22/05/2024 8:29 AM
485,Bryce Edwards,d23,Bill,Dyet,,East Coast Bays,New Zealand Loyal,$0.00,"$1,843.35",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$1,843.35",$0.00,$0.00,No,Submitted,22/05/2024 8:28 AM,22/05/2024 8:28 AM,22/05/2024 8:28 AM
484,Bryce Edwards,d23,Logan,Courtney,,Selwyn,New Zealand Loyal,"$2,611.39","$1,219.51","$2,611.39","$2,611.39",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$941.04,$278.47,$0.00,$0.00,No,Submitted,22/05/2024 8:27 AM,22/05/2024 8:27 AM,22/05/2024 8:27 AM
483,Bryce Edwards,d23,Natalie,Colello,,Kaikōura,New Zealand Loyal,"$1,700.00","$1,743.72","$1,700.00","$1,700.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,707.23",$36.48,$0.00,$0.00,No,Submitted,22/05/2024 4:03 AM,22/05/2024 4:03 AM,22/05/2024 4:03 AM
482,Bryce Edwards,d23,Ray,Cobb,,Coromandel,New Zealand Loyal,$0.00,$840.96,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$250.70,$590.26,$0.00,$0.00,No,Submitted,22/05/2024 3:59 AM,22/05/2024 3:59 AM,22/05/2024 3:59 AM
481,Bryce Edwards,d23,Jordan,Blake,,Hutt South,New Zealand Loyal,$0.00,"$1,904.60",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,702.30",$202.30,$0.00,$0.00,No,Submitted,22/05/2024 3:57 AM,22/05/2024 3:57 AM,22/05/2024 3:57 AM
480,Bryce Edwards,d23,Tanya,Ban,,Hamilton East,New Zealand Loyal,$0.00,"$3,106.77",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,606.77","$1,500.00",$0.00,$0.00,No,Submitted,22/05/2024 3:55 AM,22/05/2024 3:55 AM,22/05/2024 3:55 AM
479,Bryce Edwards,d23,Ray,Bailey,,Waitaki,New Zealand Loyal,"$9,543.19","$1,718.00","$9,543.19","$9,543.19",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$200.00,"$1,518.00",$0.00,$0.00,No,Submitted,22/05/2024 3:53 AM,22/05/2024 3:53 AM,22/05/2024 3:53 AM
478,Bryce Edwards,d23,Pete,Arnott,,Wairarapa,New Zealand Loyal,"$1,320.00","$7,199.67","$1,320.00","$1,320.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$45.00,"$7,154.67",$0.00,$0.00,No,Submitted,22/05/2024 3:48 AM,22/05/2024 3:48 AM,22/05/2024 3:48 AM
477,Bryce Edwards,d23,John,Armstrong,,Botany,New Zealand Loyal,$0.00,"$1,765.77",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,635.81",$129.96,$0.00,$0.00,No,Submitted,22/05/2024 3:45 AM,22/05/2024 3:45 AM,22/05/2024 3:45 AM
